[TPRdata]																
52																
0																
0.1																
0.2																
0.3																
0.4																
0.5																
0.6																
0.7																
0.8																
0.9																
1																
1.1																
1.2																
1.3																
1.4																
1.5																
1.6																
1.7																
1.8																
1.9																
2																
3																
4																
5																
6																
7																
8																
9																
10																
11																
12																
13																
14																
15																
16																
17																
18																
19																
20																
21																
22																
23																
24																
25																
26																
27																
28																
29																
30																
35																
40																
45																
17																
0.769																
1																
1.11																
1.43																
1.67																
1.82																
1.95																
2.1																
2.5																
3.33																
4																
4.44																
4.71																
5																
6.67																
8																
8.89																
1.054336703	1.054336703	1.054336703	1.054336703	1.054336703	1.054336703	1.054336703	1.054336703	1.054336703	1.030635254	1.0190577	1.018890231	1.021950114	1.005566654	0.98580281	0.978164162	0.966446444
1.066511903	1.065668069	1.064990251	1.064515254	1.063581883	1.062786394	1.06241688	1.062086626	1.061207159	1.037538391	1.026583765	1.025759197	1.030494782	1.010440666	0.990864233	0.985670448	0.98738008
1.084808208	1.083100084	1.081728015	1.080766507	1.078877137	1.077266874	1.076518889	1.075850375	1.074070121	1.053577605	1.042023981	1.043069957	1.047837547	1.027640912	1.006690927	1.001886296	1.003855137
1.121770331	1.119133894	1.117016147	1.115532088	1.112615903	1.110130512	1.108976018	1.107944188	1.10519642	1.085544217	1.076827243	1.07909949	1.087350906	1.059446753	1.041879878	1.037769006	1.048278277
1.233913506	1.230065788	1.226975066	1.224809172	1.22055318	1.216925903	1.21524099	1.213735097	1.209724897	1.176748727	1.181714106	1.184359024	1.19660213	1.145469314	1.138797224	1.130863584	1.146135846
1.33893351	1.333739959	1.329568183	1.326644715	1.320900086	1.316004082	1.31372983	1.311697214	1.306284351	1.277661071	1.272351743	1.270180383	1.284144642	1.245088109	1.223819787	1.212709814	1.218997221
1.417388279	1.410822857	1.405549111	1.401853413	1.394591346	1.388402068	1.385527076	1.382957547	1.376114881	1.350180362	1.341167886	1.333665491	1.343825631	1.315939426	1.286606421	1.254461174	1.268932527
1.47674537	1.468803485	1.462424081	1.457953567	1.449168984	1.441682102	1.438204358	1.435096119	1.426818865	1.402231509	1.38888953	1.382490489	1.385041202	1.36552265	1.326820597	1.312728627	1.304424986
1.518638993	1.509349929	1.501888388	1.496659542	1.486384834	1.477627955	1.473560282	1.469924793	1.460243471	1.43862223	1.421755682	1.41572321	1.413114554	1.401202985	1.361860867	1.341451385	1.329430087
1.550412899	1.539795093	1.531266225	1.525289425	1.513544982	1.503535486	1.498885957	1.494730434	1.483664259	1.458786651	1.445387058	1.435701616	1.434074543	1.4283835	1.383361427	1.360718351	1.345929964
1.574385952	1.562463005	1.552885769	1.546174301	1.532986232	1.521746369	1.516525321	1.511859001	1.499432572	1.476386553	1.461234999	1.451433624	1.447100746	1.440262319	1.395979353	1.374050508	1.358166719
1.589972407	1.576790083	1.566201238	1.558780862	1.544199786	1.531772697	1.526000169	1.520840962	1.507101975	1.484660913	1.470627822	1.458939081	1.454874445	1.446288861	1.40094501	1.384253818	1.365457484
1.602140682	1.587718244	1.576133264	1.568014824	1.552062047	1.538465893	1.53215032	1.526505766	1.511474298	1.491561199	1.477386986	1.466482627	1.459783968	1.454702641	1.409552262	1.38640912	1.369902652
1.611281529	1.595641834	1.583079079	1.57427544	1.556976245	1.542232572	1.535383963	1.529263007	1.51296288	1.495631964	1.477825356	1.468603133	1.461335784	1.455576323	1.414626538	1.391329	1.371904436
1.619768556	1.602916193	1.58937935	1.579893096	1.56125256	1.545365695	1.53798606	1.531390499	1.513826495	1.49364289	1.479128231	1.468970648	1.462894496	1.464807681	1.415206592	1.390972556	1.370439721
1.625140292	1.607108549	1.592624357	1.582474227	1.562529169	1.545530493	1.537634409	1.53057727	1.511784084	1.494097195	1.477719262	1.465843208	1.459406029	1.460149491	1.414888176	1.389312051	1.370274814
1.615976657	1.598391289	1.584180492	1.574281548	1.554804842	1.538146451	1.530285002	1.52439431	1.508707374	1.490787362	1.475580359	1.46351533	1.456308423	1.453154984	1.413722771	1.388184197	1.368229801
1.606864692	1.589721312	1.575781395	1.566131285	1.547118701	1.530797687	1.522970723	1.5179607	1.50461899	1.484223761	1.472490196	1.461828834	1.454787219	1.453784694	1.410272357	1.386818269	1.365864204
1.597804107	1.581098363	1.567426829	1.558023216	1.539470555	1.523484033	1.515691404	1.510800424	1.497775724	1.478741204	1.469342327	1.457749885	1.450290579	1.451181463	1.405331023	1.383212691	1.36294756
1.588794612	1.572522187	1.559116557	1.549957123	1.531860218	1.516205322	1.508446878	1.503756579	1.491266296	1.474396907	1.463730954	1.452146894	1.445205989	1.44432975	1.398956891	1.379538089	1.359136809
1.579835918	1.563992529	1.550850346	1.54193279	1.524287503	1.508961386	1.501236979	1.496940158	1.485497711	1.469832762	1.457678274	1.447563916	1.439283661	1.442016954	1.397145227	1.375339559	1.354592528
1.492980841	1.481199646	1.470560739	1.463939204	1.450589067	1.438398506	1.431006421	1.428320864	1.421169215	1.407773466	1.400700454	1.392449773	1.385351549	1.383410807	1.353524451	1.333408544	1.314250237
1.410900819	1.40278956	1.394427834	1.389890666	1.380453909	1.371135326	1.364061376	1.361465033	1.354550963	1.349078579	1.342441114	1.334992168	1.328817298	1.326016022	1.304498354	1.287142649	1.271055086
1.333333333	1.328530259	1.322236431	1.319587629	1.313709747	1.307017544	1.300248139	1.297521323	1.290259803	1.285644059	1.281050562	1.276346634	1.272158658	1.265260015	1.253173555	1.239222973	1.224798549
1.260205696	1.256550362	1.251760503	1.249744657	1.245271351	1.240178313	1.235026522	1.232951305	1.227424993	1.225561214	1.221263724	1.217361484	1.214696823	1.199441076	1.200427715	1.188881663	1.177335103
1.18955072	1.186945987	1.183532809	1.182096349	1.178908741	1.175279522	1.171608437	1.170129669	1.166191707	1.165398352	1.163263389	1.160951379	1.158893108	1.129341604	1.146906401	1.140463171	1.131321163
